行政區,地點,地址,樣態,開放時間,緯度,經度,相對位置,照片連結,管理單位,管理單位電話,備註
大安區,臺北市懷愛館停柩室廁所外,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01274,121.55318,停柩室廁所外,https://lh3.googleusercontent.com/d/1_osfSg1Mo3MG9pXBeZIvw0J34UxNxrIs,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館景仰樓2樓露臺,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01322,121.55308,景仰樓2樓室外梯下方,https://lh3.googleusercontent.com/d/1G9uNC6RVqRJIFc9ZTYwVzAlDmHfQEW6R,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館中庭景行樓室外梯下方,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01333,121.55275,至忠一廳門口(朝辛亥路方向)外,https://lh3.googleusercontent.com/d/1iX2uGrhyB5erVREqTDULBP50x1_kKWGc,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館景行樓4樓園圃,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01344,121.55251,景行樓4樓梯廳(朝辛亥路方向)左手邊,,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,臺北市懷愛館計程車停等區,辛亥路3段330號,戶外開放式吸菸區,24小時開放,25.01381,121.55225,景明廳門口(朝辛亥路方向)與公共藝術左手邊,https://lh3.googleusercontent.com/d/1OQHQyCv_R2o-pZ2-Oj7zCS1y2WEEOI5b,臺北市殯葬管理處,(02)87329686-29732,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,臺北市萬華區行政中心,和平西路3段120號,戶外開放式吸菸區,06:00-23:00,25.03502,121.5002,東側廣場,https://lh3.googleusercontent.com/d/1QoU0lqE-6oLMZ3VpULu8oaTnbTw_uPxQ,臺北市萬華區公所,(02)23064468-318,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,臺北市文山區行政中心,木柵路3段220號,戶外開放式吸菸區,24小時開放,24.99001,121.56946,停車場前方,https://lh3.googleusercontent.com/d/15gmC1clUvkJsZW-q9plI-q16ZOo5ndBQ,臺北市文山區公所,(02)29365522-400,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館1館南側,經貿二路1號,戶外開放式吸菸區,24小時開放,25.05572,121.61757,展覽館1樓南側,,中華民國對外貿易發展協會南港展覽館1館管理組,(02)27255200-5515,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館1館東側,經貿二路1號,戶外開放式吸菸區,24小時開放,25.05648,121.61892,展覽館1樓東側,,中華民國對外貿易發展協會南港展覽館1館管理組,(02)27255200-5515,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館2館1,經貿二路2號,戶外開放式吸菸區,24小時開放,25.05551,121.61622,東南轉角,,南港展覽館2館,(02)27525200-6680,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館2館2,經貿二路2號,戶外開放式吸菸區,24小時開放,25.05555,121.61556,西二門外空地轉角,,南港展覽館2館,(02)27525200-6680,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,臺北南港展覽館2館3,經貿二路2號,戶外開放式吸菸區,24小時開放,25.05585,121.6146,南側S1、S2旁,,南港展覽館2館,(02)27525200-6680,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,臺北市士林區行政中心,中正路439號,戶外開放式吸菸區,24小時開放,25.09251,121.51958,行政中心西南側,https://lh3.googleusercontent.com/d/11jvWDOMSU2tsUcuOtIupt1DbFEk4QcA9,臺北市士林區公所,(02)28826200-8703,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,陽明山國家公園-冷水坑遊憩區,菁山路101巷170號,戶外開放式吸菸區,24小時開放,25.16551,121.56417,冷水坑遊客服務站東南側、服務站一樓平臺處,https://lh3.googleusercontent.com/d/1X2zoPV1LmUDmcj__yqaVw-sgqilf10SD,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,陽明山國家公園-擎天崗草原景觀區,菁山路101巷246號,戶外開放式吸菸區,24小時開放,25.16647,121.57381,汙水處理設施上方平臺,https://lh3.googleusercontent.com/d/1_gkfSmb5TN4NRJJFIllWH05UCeVnqMcx,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,陽明山國家公園-天溪園生態教育中心,至善路3段336巷45號,戶外開放式吸菸區,24小時開放,25.13231,121.59226,教育中心女廁斜後方草坪處,https://lh3.googleusercontent.com/d/1rXsNRo9-wlSvjRzslHuBeS890pDMhjt-,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,陽明山國家公園-菁山自然中心,菁山路101巷85號,戶外開放式吸菸區,24小時開放,25.15583,121.56166,菁山自然中心後門殘障車位對面,https://lh3.googleusercontent.com/d/1CmxDrY8fQ4OzaTUwN9oPakeIq7IpgwD_,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,陽明山國家公園-小油坑遊憩區,竹子湖路69號,戶外開放式吸菸區,24小時開放,25.17651,121.54719,小油坑遊客服務站正前方10公尺處,,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,陽明山國家公園-遊客中心,竹子湖路1-20號,戶外開放式吸菸區,24小時開放,25.15567,121.54683,遊客中心後門,,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,陽明山國家公園-管服中心1,竹子湖路1-20號,戶外開放式吸菸區,24小時開放,25.15615,121.54818,大門左側草地,https://lh3.googleusercontent.com/d/1y7Jy9vkb6jZwVuDYoHxzdhhxeCjOfrwD,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,陽明山國家公園-管服中心2,竹子湖路1-20號,戶外開放式吸菸區,24小時開放,25.15571,121.54794,第2辦公室右側,https://lh3.googleusercontent.com/d/1crurOgnBkdzD0iWEvk5Ge4Axxd1Ws2kj,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,陽明山國家公園-陽明書屋,中興路12號,戶外開放式吸菸區,24小時開放,25.16195,121.54091,停車場角落,https://lh3.googleusercontent.com/d/1yCTplwh5PBoeFmxOhXnr1RukcxYLjelR,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,陽明山國家公園-龍鳳谷遊憩區,泉源路200號,戶外開放式吸菸區,24小時開放,25.14297,121.52623,龍鳳谷遊客服務站女廁斜後方草坪處,https://lh3.googleusercontent.com/d/1CexOGMcSmkoga2CF-t9_rJjYzGzu9uZj,內政部國家公園署陽明山國家公園管理處,(02)28613601-602,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,國立故宮博物院第一展覽館,至善路2段221號,戶外開放式吸菸區,24小時開放,25.10216,121.54891,第一展覽館東側入口處右邊,,國立故宮博物院秘書室,(02)28812021-2919,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,國立故宮博物院第一展覽館西側,至善路2段221號,戶外開放式吸菸區,24小時開放,25.10181,121.54803,第一展覽館西側貴賓室入口處左邊,,國立故宮博物院秘書室,(02)28812021-2919,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,國立故宮博物院研究大樓,至善路2段221號,戶外開放式吸菸區,24小時開放,25.10077,121.54818,研究大樓北門右側,,國立故宮博物院秘書室,(02)28812021-2919,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,Mitsui Shopping Park LaLaport 南港,經貿二路131號,室內吸菸室,週日-週四:11:00-21:30/週五、六:11:00-22:00(清潔關閉時間14:00-16:30),25.058675,121.617941,3樓，南廣場區,https://lh3.googleusercontent.com/d/1VtiefvtaPMZXgOo-Dm9FNGDNNJyhqNLm,中捷公寓大廈管理維護股份有限公司,(02)27831175,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,臺北晶華酒店,中山北路二段39巷3號2樓,室內吸菸室,24小時開放,25.05416,121.52428,臺北晶華酒店二樓,,臺北晶華酒店工程部,(02)25215000-3703,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,MAJI集食行樂,玉門街1號,戶外開放式吸菸區,24小時開放,25.06917,121.522541,集食行樂區廁所旁,,MAJI集食行樂(營運廠商:好味全市集股份有限公司),(02)25977112-208,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北車站東側廣場,北平西路3號,戶外開放式吸菸區,24小時開放,25.047989,121.518077,東1出口外,,國營臺灣鐵路股份有限公司北區營運處臺北運務段臺北站,(02)23111024,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北車站西側廣場,北平西路3號,戶外開放式吸菸區,24小時開放,25.048256,121.516343,西1出口外,,國營臺灣鐵路股份有限公司北區營運處臺北運務段臺北站,(02)23111024,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,TFC南港經貿大樓1,經貿一路168號,戶外開放式吸菸區,24小時開放,25.05809,121.61886,漢來飯店西南側,,TFC南港經貿大樓管理中心,(02)27880627,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,TFC南港經貿大樓2,經貿一路168號,戶外開放式吸菸區,24小時開放,25.05828,121.61955,漢來飯店東側,,TFC南港經貿大樓管理中心,(02)27880627,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,TFC南港經貿大樓3,經貿一路166號,戶外開放式吸菸區,24小時開放,25.05797,121.62003,C棟東側,,TFC南港經貿大樓管理中心,(02)27880627,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,森高砂咖啡館中山旗艦店,中山北路1段133號,室內吸菸室,週日至週四11:00-20:00週五至週六11:00-21:00,25.05164,121.52271,一樓最內側,,臺北市政府衛生局,(02)27208889-1814,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,光華商場數位新天地-一樓北側廣場,市民大道三段8號,戶外開放式吸菸區,11:00~21:00,25.04544,121.53169,一樓北側廣場西側,,臺北市光華商場數位新天地發展協會、鐵棧道發展協會,(02)23412202、(02)23567081,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,光華商場數位新天地-四樓空橋,市民大道三段8號,戶外開放式吸菸區,11:00~21:00,25.04525,121.53207,四樓空橋,,臺北市光華商場數位新天地發展協會、鐵棧道發展協會,(02)23412202、(02)23567081,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,光華商場數位新天地-五樓空橋,市民大道三段8號,戶外開放式吸菸區,11:00~21:00,25.04525,121.53207,五樓空橋,,臺北市光華商場數位新天地發展協會、鐵棧道發展協會,(02)23412202、(02)23567081,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,松山機場航廈站前長廊1,敦化北路340-9號,戶外開放式吸菸區,24小時開放,25.063588,121.552864,站前長廊2號柱長廊戶外空間,,臺北國際航空站業務組,(02)87703572,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,松山機場航廈站前長廊2,敦化北路340-9號,戶外開放式吸菸區,24小時開放,25.063576,121.552008,站前長廊18號柱後方柵欄外側,,臺北國際航空站業務組,(02)87703572,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,松山機場-第三立體停車場外,敦化北路340-9號,戶外開放式吸菸區,24小時開放,25.06402,121.552672,第三停車場後方(東北角),,臺北國際航空站業務組,(02)87703572,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,香堤廣場1,松壽路9號,戶外開放式吸菸區,24小時開放,25.03756,121.56646,新光三越 臺北信義新天地A8-1F西南側,,新光三越 臺北信義新天地A8店舖管理,(02)87809966-6088,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,香堤廣場2,松壽路9號,戶外開放式吸菸區,24小時開放,25.03737,121.56646,A9靠松壽廣場側,,新光三越 臺北信義新天地A8店舖管理,(02)87809966-6088,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,國家戲劇院及國家音樂廳1,中山南路21之1號,戶外開放式吸菸區,24小時開放,25.03492,121.51858,國家戲劇院3號門前,https://lh3.googleusercontent.com/d/1kUFyqiGLJhWvnOQlFEgH6oPia4vpUalW,國家表演藝術中心國家兩廳院,(02)33939917(行政管理部),本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,國家戲劇院及國家音樂廳2,中山南路21之1號,戶外開放式吸菸區,24小時開放,25.03508,121.51802,戲劇院4號門迴廊,https://lh3.googleusercontent.com/d/1zudf8ZydSVpayTIS6gQFwJfLLPJpU-wv,國家表演藝術中心國家兩廳院,(02)33939917(行政管理部),本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,國家戲劇院及國家音樂廳3,中山南路21之1號,戶外開放式吸菸區,24小時開放,25.03553,121.51828,戲劇院6號門迴廊,https://lh3.googleusercontent.com/d/1aGOsl6oMEljRULMObhiBPKstNqPiKiBL,國家表演藝術中心國家兩廳院,(02)33939917(行政管理部),本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,國家戲劇院及國家音樂廳4,中山南路21之1號,戶外開放式吸菸區,24小時開放,25.03727,121.51947,音樂廳3號門前,https://lh3.googleusercontent.com/d/1aGSuGP034z5Q_13ABHcnX7fUO8y5w439,國家表演藝術中心國家兩廳院,(02)33939917(行政管理部),本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,國家戲劇院及國家音樂廳5,中山南路21之1號,戶外開放式吸菸區,24小時開放,25.03734,121.51936,音樂廳4號門迴廊,https://lh3.googleusercontent.com/d/1KtQILrAAMdkDfb579XlFetex8DqEbYAe,國家表演藝術中心國家兩廳院,(02)33939917(行政管理部),本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,國家戲劇院及國家音樂廳6,中山南路21之1號,戶外開放式吸菸區,24小時開放,25.03682,121.51906,音樂廳6號門迴廊,https://lh3.googleusercontent.com/d/1gp_3t8pV_EUkQIzZAgML3usCfFSDVXHU,國家表演藝術中心國家兩廳院,(02)33939917(行政管理部),本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,遼寧鵝肉城小吃店1,遼寧街77號,室內吸菸室,17:00～01:00,25.049482,121.542223,2樓,,臺北市政府衛生局,(02)27208889-1863,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,遼寧鵝肉城小吃店2,遼寧街77號,室內吸菸室,17:00～01:00,25.049482,121.542223,3樓,,臺北市政府衛生局,(02)27208889-1863,本位置資訊僅供參考，實際情形以現場公告及標示為準
松山區,民權東路3段197巷東西側平面停車場,民權東路3段197巷東西側,戶外開放式吸菸區,24小時開放,25.06185,121.54974,重機格位,https://lh3.googleusercontent.com/d/1YPI3ACYBmdU1yVemI4ovCp9xwy6Y4_Ld,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,延平北路2段247巷機車平面停車場,延平北路2段247巷7號對面,戶外開放式吸菸區,24小時開放,25.06227,121.51266,停車場場內空地,https://lh3.googleusercontent.com/d/1XaxPrTwJDqM2UQow9akNhHVt9Qxu1M_M,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,松德臨時平面停車場,松德路底,戶外開放式吸菸區,24小時開放,25.03163,121.57301,32號格位右側,https://lh3.googleusercontent.com/d/1nr561G-7ZO4noAUz5CXgp32cTj8_xIyD,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,峨眉停車場,峨眉街83號,戶外開放式吸菸區,24小時開放,25.04436,121.50539,西寧南路50巷與昆明街口,https://lh3.googleusercontent.com/d/1sI4-Z1TgUaFumiglSqLa7Nht7BC3K_V_,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
北投區,豐年運動公園平面停車場,大業路525巷2弄,戶外開放式吸菸區,24小時開放,25.13542,121.49477,29號車格位後方,https://lh3.googleusercontent.com/d/1qRwgtUN45dPxS_oz7iJmk1pfCo2F1YU5,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
士林區,基河路大客車平面停車場,基河路與美崙街口,戶外開放式吸菸區,24小時開放,25.09489,121.51887,停車場出入口左側空地,https://lh3.googleusercontent.com/d/1jqQSr1Jtd5wPrQo6VVt3rUxbnNOFyGHU,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,新生北路2段橋下停車場(新生高架民生-錦州停車場),錦州段,戶外開放式吸菸區,24小時開放,25.05851,121.5275,靠民生東路一段口空地,https://lh3.googleusercontent.com/d/1CizAZ04LSiNym6U_7E6Bc7WK-8J29mWy,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,同安街平面停車場,同安街101巷與水源路交叉口,戶外開放式吸菸區,24小時開放,25.0209,121.52059,5號停車格護欄外空地,https://lh3.googleusercontent.com/d/1vFqFr2JfEpF6PTEmBribEBZJvF_ziyqk,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,木柵路三段平面停車場,木柵路3段53號對面,戶外開放式吸菸區,24小時開放,24.98842,121.56662,69號車格位左側,https://lh3.googleusercontent.com/d/1B21deBD6izWkAbDyLkD5qgdUqpAykhpl,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
內湖區,安康公車調度站臨時平面停車場,五分街12號,戶外開放式吸菸區,24小時開放,25.06729,121.61314,1號停車格位右側,https://lh3.googleusercontent.com/d/1bHrsG_ztqR64o7H7y5dFbPeLBxg597sh,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,舊莊街2段9號前水利地停車場,舊莊街2段9號前,戶外開放式吸菸區,24小時開放,25.03742,121.62454,20號停車格位黃網區上方,https://lh3.googleusercontent.com/d/1LYeEGL1arHzx66whqFB6jnP1seI_s4AS,臺北市停車管理工程處,(02)27590666-6411,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,信義路1,信義路5段100號前,戶外開放式吸菸區,24小時開放,25.03277,121.56598,信義路5段100號前,https://lh3.googleusercontent.com/d/11apF0yxr0vhXgox0S5AUMyo9WKdRb7s4,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,信義路2,信義路5段與莊敬路口西北角,戶外開放式吸菸區,24小時開放,25.03312,121.56111,信義路5段與莊敬路口西北角,https://lh3.googleusercontent.com/d/1iMP2e-O3GKOcoLvjzCFp6v0v4D8z5w0i,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,信義路3,信義路4段456號前,戶外開放式吸菸區,24小時開放,25.03289,121.55812,信義路4段456號前,https://lh3.googleusercontent.com/d/186oPDgYXpaFIISoutFh5M9dpmQwEq4XJ,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,信義路4,信義路4段304號前,戶外開放式吸菸區,24小時開放,25.03298,121.55482,信義路4段304號前,https://lh3.googleusercontent.com/d/18q0mGQDykh6SEii1ofUaSXJctfdTIjtj,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,信義路5,信義路4段156號前,戶外開放式吸菸區,24小時開放,25.03337,121.55136,信義路4段156號前,https://lh3.googleusercontent.com/d/1HUem61I-VW0MtZXDFjZ6EO7CXoFXuZQ6,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,信義路6,信義路5段7號,戶外開放式吸菸區,08:00-19:00,25.0335,121.56446,台北101辦公大樓信義路出口西側35公尺,https://lh3.googleusercontent.com/d/154MYWHaOoFgL_3Tyjj3io_icUqNCO21I,設置：臺北市政府交通局、維護清潔：台北金融大樓股份有限公司,(02)81017780、(02)81017781,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,信義路7,信義路4段101號前,戶外開放式吸菸區,24小時開放,25.03344,121.54728,信義路4段101號前,https://lh3.googleusercontent.com/d/1Hs_XFKebdjWyk_t4TCuF8JK5UPZeoGGC,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,信義路8,信義路4段88號前,戶外開放式吸菸區,24小時開放,25.03314,121.54759,信義路4段88號前,https://lh3.googleusercontent.com/d/14knUAMH5V9Rqdnuqj0mOZqa13YWhc_c_,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,信義路9,信義路3段190-1號前,戶外開放式吸菸區,24小時開放,25.03325,121.54293,信義路3段190-1號前,https://lh3.googleusercontent.com/d/1cXnC-hBSequeTn3GW6Ag-zV4ZbW03Nd7,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,信義路10,信義路3段89號,戶外開放式吸菸區,24小時開放,25.03378,121.53813,信義路3段89號(臺北大安郵局建國南路1段側),https://lh3.googleusercontent.com/d/1ZavjDqDgfoIw2l8K1q2tmkx1xVai6QBP,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,信義路11,信義路1段與杭州南路2段西南角,戶外開放式吸菸區,24小時開放,25.03551,121.52384,信義路1段與杭州南路2段西南角,https://lh3.googleusercontent.com/d/186O6IT1waXQ2iRSgYtwdYMR_jZttCbhB,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,敦化南路1,敦化南路2段201號前北向快慢車道分隔島,戶外開放式吸菸區,24小時開放,25.02709,121.54891,敦化南路2段201號前北向快慢車道分隔島,https://lh3.googleusercontent.com/d/1lPPpRs1Y1sJtLAkQ8aEwlVqT2LLQfqPL,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,敦化南路2,敦化南路2段77號前北向快慢車道分隔島,戶外開放式吸菸區,24小時開放,25.03019,121.54879,敦化南路2段77號前北向快慢車道分隔島,https://lh3.googleusercontent.com/d/1yvDhbU_ownCDEqFbEkL8qwUI-2Wzyop8,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,敦化南路3,敦化南路1段316號前南向快慢車道分隔島,戶外開放式吸菸區,24小時開放,25.03547,121.5487,敦化南路1段316號前南向快慢車道分隔島,https://lh3.googleusercontent.com/d/1CXn32O8ksX6d7ymIUB83RPA3JusAF6H5,設置：臺北市政府交通局、維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,敦化南路4,敦化南路1段245號前北向快慢車道分隔島,戶外開放式吸菸區,24小時開放,25.03906,121.549,敦化南路1段245號前北向快慢車道分隔島,https://lh3.googleusercontent.com/d/1sJJ4I6nw-SDMP59B5o13JmVMCp0LBOIE,設置：臺北市政府交通局；維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
